Position,Objekt / Bild,Objektseiten-URL (Zum Objekt),Institution / Quelle,Status,Rechte-Status / To-do,Kommentar,Bearbeitung,Match-URL (aktuell),Match-Konfidenz
30,Sophie Reinhard: Statthalter von Schopfheim,https://ausstellung.hebel-archiv.de/objekte/reinhard-statthalter-1820/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/reinhard-statthalter-1820/,hoch (URL/Slug exakt)
33.1,"Christian Heinrich Wolke: Übersetzung, Bild 1",https://ausstellung.hebel-archiv.de/objekte/wolke-sassisge-singedigte-1804/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/wolke-sassisge-singedigte-1804/,hoch (URL/Slug exakt)
33.2,"Christian Heinrich Wolke: Übersetzung, Bild 2",https://ausstellung.hebel-archiv.de/objekte/wolke-sassisge-singedigte-1804/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/wolke-sassisge-singedigte-1804/,hoch (URL/Slug exakt)
33.3,"Christian Heinrich Wolke: Übersetzung, Bild 3",https://ausstellung.hebel-archiv.de/objekte/wolke-sassisge-singedigte-1804/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/wolke-sassisge-singedigte-1804/,hoch (URL/Slug exakt)
32,Friedrich Girardet: Übersetzung,https://ausstellung.hebel-archiv.de/objekte/girardet-allemannische-gedichte-1821/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,Ausschnitt,,https://ausstellung.hebel-archiv.de/objekte/girardet-allemannische-gedichte-1821/,hoch (URL/Slug exakt)
93,Iris. Ein Taschenbuch für 1804,https://ausstellung.hebel-archiv.de/objekte/iris-taschenbuch-1804/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/iris-taschenbuch-1804/,hoch (URL/Slug exakt)
34.1,"Johann George Scheffners Übersetzung, Titelblatt",https://ausstellung.hebel-archiv.de/objekte/scheffner-allemannische-lieder-1811/,Universitäts- und Landesbibliothek Bonn,Geklärt,mit freundlicher Genehmigung der ULB Bonn,Genehmigung der ULB Bonn liegt vor. Freigestellt,,https://ausstellung.hebel-archiv.de/objekte/scheffner-allemannische-lieder-1811/,hoch (URL/Slug exakt)
34.2,"Johann George Scheffners Übersetzung, erste Seite der Vorrede",https://ausstellung.hebel-archiv.de/objekte/scheffner-allemannische-lieder-1811/,Universitäts- und Landesbibliothek Bonn,Geklärt,mit freundlicher Genehmigung der ULB Bonn,Genehmigung der ULB Bonn liegt vor. Freigestellt,,https://ausstellung.hebel-archiv.de/objekte/scheffner-allemannische-lieder-1811/,hoch (URL/Slug exakt)
38,"Allemanische Gedichte, 4. Auflage, Neusatz",https://ausstellung.hebel-archiv.de/objekte/allemannische-gedichte-1808-neusatz/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/allemannische-gedichte-1808-neusatz/,hoch (URL/Slug exakt)
41,"Reutlinger Ausgabe Enßlin, 1822",https://ausstellung.hebel-archiv.de/objekte/allemannische-gedichte-ensslin-1822/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/allemannische-gedichte-ensslin-1822/,hoch (URL/Slug exakt)
40,"Reutlinger Ausgabe Mäcken, 1821",https://ausstellung.hebel-archiv.de/objekte/allemannische-gedichte-maecken-1821/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/allemannische-gedichte-maecken-1821/,hoch (URL/Slug exakt)
36,"Brief Hebel an Hitzig, 5. Dezember 1802",https://ausstellung.hebel-archiv.de/objekte/hebel-brief-hitzig-1802/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,,,https://ausstellung.hebel-archiv.de/objekte/hebel-brief-hitzig-1802/,hoch (URL/Slug exakt)
37,"Allemanische Gedichte, 4. Auflage, erster Satz",https://ausstellung.hebel-archiv.de/objekte/allemannische-gedichte-1808-erster-satz/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/allemannische-gedichte-1808-erster-satz/,hoch (URL/Slug exakt)
39,"Allemannische Gedichte, 5. Original-Ausgabe",https://ausstellung.hebel-archiv.de/objekte/allemannische-gedichte-sauerlaender-1820/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/allemannische-gedichte-sauerlaender-1820/,hoch (URL/Slug exakt)
35,"Wieland, Geschichte des weisen Danischmend, Titelblatt",https://ausstellung.hebel-archiv.de/objekte/wieland-danischmend-1814/,Privatbesitz eines Mitarbeiters,Geklärt,Privatbesitz eines Mitarbeiters; Nutzung geklärt,Privatbesitz eines Mitarbeiters; Nutzung intern geklärt.,,https://ausstellung.hebel-archiv.de/objekte/wieland-danischmend-1814/,hoch (URL/Slug exakt)
43,Badenscher Landkalender 1803,https://ausstellung.hebel-archiv.de/objekte/badenscher-landkalender-1803/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/badenscher-landkalender-1803/,hoch (URL/Slug exakt)
84,Badischer Landkalender auf das Jahr 1804,https://ausstellung.hebel-archiv.de/objekte/badischer-landkalender-1804/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/badischer-landkalender-1804/,hoch (URL/Slug exakt)
44.3,"Rechenbuch, Bild 3",https://ausstellung.hebel-archiv.de/objekte/neue-aufgaben/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,freigestellt,,https://ausstellung.hebel-archiv.de/objekte/badischer-landkalender-1805/,hoch (dokumentierter Metadatenabgleich)
44.4,"Rechenbuch, Bild 4",https://ausstellung.hebel-archiv.de/objekte/neue-aufgaben/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,freigestellt,,https://ausstellung.hebel-archiv.de/objekte/badischer-landkalender-1805/,hoch (dokumentierter Metadatenabgleich)
46.1,"Brief an Kölle, 25. Oktober 1814",https://ausstellung.hebel-archiv.de/objekte/brief-an-koelle-1814/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,,,https://ausstellung.hebel-archiv.de/objekte/brief-an-koelle-1814/,hoch (URL/Slug exakt)
42,Holzschnitt zum Unverhofften Wiedersehen,https://ausstellung.hebel-archiv.de/objekte/rheinlaendischer-hausfreund-1811/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,Ausschnitt,,https://ausstellung.hebel-archiv.de/objekte/rheinlaendischer-hausfreund-1811/,hoch (URL/Slug exakt)
45.1,"Rheinländischer Hausfreund 1814, Probedruck, Ansicht 1",https://ausstellung.hebel-archiv.de/objekte/rheinlaendischer-hausfreund-1814-korrekturexemplar/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/rheinlaendischer-hausfreund-1814-korrekturexemplar/,hoch (URL/Slug exakt)
45.2,"Rheinländischer Hausfreund 1814, Probedruck, Ansicht 2",https://ausstellung.hebel-archiv.de/objekte/rheinlaendischer-hausfreund-1814-druck/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/rheinlaendischer-hausfreund-1814-druckexemplar/,hoch (dokumentierter Metadatenabgleich)
44.1,"Johann Jacob Hebels Rechenbuch, Bild 1",https://ausstellung.hebel-archiv.de/objekte/johann-jacob-hebels-rechenbuch/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,freigestellt,,https://ausstellung.hebel-archiv.de/objekte/johann-jacob-hebels-rechenbuch/,hoch (URL/Slug exakt)
44.2,"Rechenbuch, Bild 2",https://ausstellung.hebel-archiv.de/objekte/johann-jacob-hebels-rechenbuch/,Badische Landesbibliothek Karlsruhe,Geklärt,generelle Genehmigung,freigestellt,,https://ausstellung.hebel-archiv.de/objekte/johann-jacob-hebels-rechenbuch/,hoch (URL/Slug exakt)
47.1,Cottas Anzeige des Schatzkästleins,https://ausstellung.hebel-archiv.de/objekte/morgenblatt-fuer-gebildete-staende-1810/,Hebel-Archiv / TSS,Geklärt,soweit eigener Bestand,"eigener Bestand, Ausschnitt",,https://ausstellung.hebel-archiv.de/objekte/morgenblatt-fuer-gebildete-staende-1810/,hoch (URL/Slug exakt)
48,Kafkas Exemplar des Schatzkästleins,https://ausstellung.hebel-archiv.de/objekte/schatzkaestlein-kafka-hardt/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/schatzkaestlein-kafka-hardt/,hoch (URL/Slug exakt)
47.2,"Schatzkästlein, weitere Ansicht",https://ausstellung.hebel-archiv.de/objekte/schatzkaestlein-1811/,Hebel-Archiv / TSS,Geklärt,soweit eigener Bestand,eigener Bestand,,https://ausstellung.hebel-archiv.de/objekte/schatzkaestlein-erstausgabe-1811/,hoch (dokumentierter Metadatenabgleich)
46.2,"Rheinländischer Hausfreund 1815, Kalenderexemplar",https://ausstellung.hebel-archiv.de/objekte/rheinlaendischer-hausfreund-1815-unzensiert/,Hebel-Archiv Heidelberg / eigener Bestand,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/rheinlaendischer-hausfreund-1815-unzensiert/,hoch (URL/Slug exakt)
46.3,Dritte Ansicht ‚unglücklicher Kalender‘,https://ausstellung.hebel-archiv.de/objekte/rheinlaendischer-hausfreund-1815-unzensiert/,Hebel-Archiv Heidelberg / eigener Bestand,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/rheinlaendischer-hausfreund-1815-unzensiert/,hoch (URL/Slug exakt)
83,Vade Mecum für lustige Leute,https://ausstellung.hebel-archiv.de/objekte/vade-mecum-fuer-lustige-leute-1774/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/vade-mecum-fuer-lustige-leute-1774/,hoch (URL/Slug exakt)
53.1,"Evangelische Stadtkirche Karlsruhe, Ansicht 1",https://ausstellung.hebel-archiv.de/objekte/evangelische-stadtkirche-karlsruhe/,Staatliche Kunsthalle Karlsruhe,Geklärt,Genehmigung der Kunsthalle KA,,,https://ausstellung.hebel-archiv.de/objekte/evangelische-stadtkirche-karlsruhe/,hoch (URL/Slug exakt)
49,Hebelbüste vor der Peterskirche Basel,https://ausstellung.hebel-archiv.de/objekte/hebelbueste-basel/,Wikimedia,geklärt,Creative Commons Attribution-Share Alike 3.0 Unported,,,https://ausstellung.hebel-archiv.de/objekte/hebelbueste-basel/,hoch (URL/Slug exakt)
50,Fotografie des Belchen,https://ausstellung.hebel-archiv.de/objekte/belchen-fotografie/,Wikimedia,geklärt,Creative Commons Attribution-Share Alike 3.0 Unported,,,https://ausstellung.hebel-archiv.de/objekte/belchen-fotografie/,hoch (URL/Slug exakt)
51,Abbildung zum Polytheismusbrief,https://ausstellung.hebel-archiv.de/objekte/illustration-wiese/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/illustration-wiese/,hoch (URL/Slug exakt)
54,Grüner Umschlag der Biblischen Geschichten,https://ausstellung.hebel-archiv.de/objekte/biblische-geschichten-umschlag-recto/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/biblische-geschichten-umschlag-recto/,hoch (URL/Slug exakt)
52,"Rheinländischer Hausfreund 1815, Titelblattdetail",https://ausstellung.hebel-archiv.de/objekte/titelblatt-rheinlaendischer-hausfreund/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/titelblatt-rheinlaendischer-hausfreund/,hoch (URL/Slug exakt)
53.2,"Badische Kirchenunion, zweite Ansicht",https://ausstellung.hebel-archiv.de/objekte/urkunde-ehrenpromotion-hebel/,Universitätsarchiv Heidelberg,Geklärt,Genehmigung des Uni-Archivs HD,,,https://ausstellung.hebel-archiv.de/objekte/urkunde-ehrenpromotion-hebel/,hoch (URL/Slug exakt)
55,Studierender Putto,https://ausstellung.hebel-archiv.de/objekte/biblische-geschichten-umschlag-verso/,Hebel-Archiv Heidelberg,Geklärt,eigener Bestand,,,https://ausstellung.hebel-archiv.de/objekte/biblische-geschichten-umschlag-verso/,hoch (URL/Slug exakt)
56.1,Christian Meichelt: Federzeichnung des Proteuserbunds,https://ausstellung.hebel-archiv.de/objekte/proteuserschwur-1812/,Dreiländermuseum Lörrach,Geklärt,Genehmigung liegt vor,,,https://ausstellung.hebel-archiv.de/objekte/proteuserschwur-1812/,hoch (URL/Slug exakt)
